id,xxx,gene
1,XXX,mut5_100
10,XXX,mut35_100
100,XXX,mut24_93
1000,XXX,mut44_91
10000,XXX,mut16_89
100000,XXX,mut32_86
1000000,XXX,mut11_73
10000000,XXX,mut12_73
100000000,XXX,mut28_73
1000000000,XXX,mut41_73
10000000000,XXX,mut3_13
10000000001,XXX,mut23_12
100000000010,XXX,mut8_11
1000000000100,XXX,mut25_11
10000000001000,XXX,mut31_11
10000000002,XXX,mut14_49
100000000020,XXX,mut15_49
1000000000200,XXX,mut26_49
10000000002000,XXX,mut22_9
10000000003,XXX,mut15_49
100000000030,XXX,mut26_49
1000000000300,XXX,mut22_9
10000000004,XXX,mut26_49
100000000040,XXX,mut22_9
1000001,XXX,mut1_56
10000010,XXX,mut13_56
100000100,XXX,mut10_26
1000001000,XXX,mut42_16
10000010000,XXX,mut20_9
100000100000,XXX,mut37_9
1000001000000,XXX,mut38_6
10000010000000,XXX,mut27_5
1000002,XXX,mut13_56
10000020,XXX,mut10_26
100000200,XXX,mut42_16
1000002000,XXX,mut20_9
10000020000,XXX,mut37_9
100000200000,XXX,mut38_6
1000002000000,XXX,mut27_5
10001,XXX,mut30_73
100010,XXX,mut17_71
1000100,XXX,mut43_49
10001000,XXX,mut21_9
10002,XXX,mut4_74
100020,XXX,mut40_60
1000200,XXX,mut9_39
10002000,XXX,mut7_29
100020000,XXX,mut29_2
1000200000,XXX,mut33_2
10002000000,XXX,mut39_1
