id,xxx,gene
1,XXX,Root
10,XXX,mut36_100
100,XXX,mut13_82
1000,XXX,mut2_82
10000,XXX,mut15_68
100000,XXX,mut7_55
1000000,XXX,mut31_16
10000000,XXX,mut44_12
100000000,XXX,mut43_11
1000000000,XXX,mut22_2
10000000000,XXX,mut12_0
10001,XXX,mut7_55
100010,XXX,mut31_16
1000100,XXX,mut44_12
10001000,XXX,mut43_11
100010000,XXX,mut22_2
1000100000,XXX,mut12_0
101,XXX,mut24_88
1010,XXX,mut8_82
10100,XXX,mut10_42
101000,XXX,mut47_13
1010000,XXX,mut29_11
11,XXX,mut35_82
110,XXX,mut1_80
1100,XXX,mut26_71
11000,XXX,mut46_36
110000,XXX,mut34_18
1100000,XXX,mut16_18
11000000,XXX,mut9_18
110000000,XXX,mut5_18
1100000000,XXX,mut6_12
11000000000,XXX,mut39_9
110000000000,XXX,mut45_6
1100000000000,XXX,mut18_6
11000000000000,XXX,mut4_6
