id,xxx,gene
1,XXX,Root
10,XXX,BC-6
100,XXX,BC-7
1000,XXX,BC-9
10000,XXX,BC-11
100000,XXX,BC-13
1000000,XXX,BC-15
10000000,XXX,BC-21
100000000,XXX,BC-22
1000000000,XXX,BC-23
10000000000,XXX,BC-24
100000000000,XXX,BC-25
1000000000000,XXX,BC-28
1000001,XXX,BC-14
10000010,XXX,BC-16
100000100,XXX,BC-24
1000001000,XXX,BC-28
11,XXX,BC-8
110,XXX,BC-13
1100,XXX,BC-15
11000,XXX,BC-22
110000,XXX,BC-23
1100000,XXX,BC-24
11000000,XXX,BC-25
110000000,XXX,BC-28
1101,XXX,BC-28
12,XXX,BC-21
120,XXX,BC-24
13,XXX,BC-11
