id,xxx,gene
1,XXX,Root
10,XXX,chr1:146454644:NBPF12 85
100,XXX,chr7:2646723:IQCE 63
1000,XXX,chr16:15813633:NDE1 60
10000,XXX,chr10:48260601:RP11-301J7.8 49
100000,XXX,chr10:47755600:AL603965.1 45
1000000,XXX,chr12:133050728:MUC8 45
10000000,XXX,chr21:9907222:TEKT4P2 39
100000000,XXX,chr1:16993511:RNU1-3 35
1000000000,XXX,chr22:16287789:POTEH 32
10000000000,XXX,chr15:30847202:GOLGA8Q 31
100000000000,XXX,chr12:117013730:MAP1LC3B2 30
10001,XXX,chr10:51852982:FAM21A 56
100010,XXX,chr17:39421886:KRTAP9-6 33
1000100,XXX,chr19:49526167:CGB 31
10001000,XXX,chr1:16976585:MST1P2 26
101,XXX,chr9:20885240:FOCAD 72
1010,XXX,chr11:120198093:TMEM136 60
10100,XXX,chr15:23438847:RN7SL106P 43
101000,XXX,chr1:146457949:NBPF12 38
1010000,XXX,chr1:144823787:NBPF9 33
10100000,XXX,chr2:110660947:LIMS3 32
101000000,XXX,chr10:37430995:ANKRD30A 27
11,XXX,chr19:13255536:CTC-250I14.3 100
110,XXX,chr1:154516578:TDRD10 89
1100,XXX,chr17:39155969:KRTAP3-2 81
11000,XXX,chr2:240900691:NDUFA10 80
110000,XXX,chr1:144857068:RP4-791M13.4 78
1100000,XXX,chr15:65113493:PIF1 74
11000000,XXX,chr9:100963977:TBC1D2 64
110000000,XXX,chr12:57637667:STAC3 60
1100000000,XXX,chr18:10704619:PIEZO2 60
11000000000,XXX,chr10:47755625:AL603965.1 56
110000000000,XXX,chr10:47755601:AL603965.1 45
1100000000000,XXX,chr10:47755604:AL603965.1 45
11000000000000,XXX,chr10:47755602:AL603965.1 44
110000000000000,XXX,chr1:146422594:NBPF12 43
1100000000000000,XXX,chr11:60971069:PGA3 39
11000000000000000,XXX,chr10:42529426:RP11-96F8.1-KSR1P1 35
110000000000000000,XXX,chr10:42529421:RP11-96F8.1-KSR1P1 33
1100000000000000000,XXX,chr21:46644427:ADARB1 33
11000000000000000000,XXX,chr10:42400225:RP11-96F8.1-KSR1P1 26
11000000001,XXX,chr10:42398648:RP11-96F8.1-KSR1P1 55
110000000010,XXX,chr8:7328067:DEFB104B 44
1100000000100,XXX,chr14:20181271:OR11H2 39
11000000001000,XXX,chr14:24592226:DCAF11 39
110000000010000,XXX,chr6:51890260:PKHD1 35
1100000000100000,XXX,chr1:145281633:NOTCH2NL 34
11000000001000000,XXX,chr3:195509443:MUC4 34
110000000010000000,XXX,chr15:32685258:GOLGA8K 34
