id,xxx,gene
1,XXX,A_100
10,XXX,B_72
100,XXX,E_32
1000,XXX,J_17
10000,XXX,T_11
100000,XXX,AN_7
1000000,XXX,BQ_2
10000000,XXX,DB_1
1000001,XXX,BP_5
10000010,XXX,CZ_4
100000100,XXX,EH_2
1000001000,XXX,FM_1
10000011,XXX,DA_1
100001,XXX,AO_4
1000010,XXX,BS_1
10001,XXX,U_6
100010,XXX,AP_4
1000100,XXX,BU_1
1000101,XXX,BT_3
10001010,XXX,DF_2
100010100,XXX,EL_1
1001,XXX,K_15
10010,XXX,V_13
100100,XXX,AS_6
1001000,XXX,BZ_3
10010000,XXX,DJ_2
100100000,XXX,ER_1
100101,XXX,AR_7
1001010,XXX,BY_1
1001011,XXX,BX_6
10010110,XXX,DI_2
100101100,XXX,EP_1
101,XXX,D_40
1010,XXX,H_31
10100,XXX,P_22
101000,XXX,AG_4
1010000,XXX,BH_3
10100000,XXX,CQ_1
10100001,XXX,CP_2
101000010,XXX,EC_1
1010001,XXX,BI_1
101001,XXX,AF_18
1010010,XXX,BF_15
10100100,XXX,CL_12
101001000,XXX,DV_10
1010010000,XXX,FB_9
10100100000,XXX,FW_1
10100100001,XXX,FV_8
101001000010,XXX,GD_5
1010010000100,XXX,GF_4
10100100001000,XXX,GJ_2
101001000010000,XXX,GN_1
101001000011,XXX,GE_3
1010010000110,XXX,GI_1
1010010001,XXX,FC_1
101001001,XXX,DW_2
1010010010,XXX,FD_1
1010011,XXX,BG_3
10100110,XXX,CN_2
101001100,XXX,DZ_1
101001101,XXX,EA_1
10100111,XXX,CO_1
10101,XXX,Q_9
101010,XXX,AH_8
1010100,XXX,BJ_6
10101000,XXX,CS_1
1011,XXX,I_9
10110,XXX,R_7
101100,XXX,AJ_4
1011000,XXX,BL_3
10110000,XXX,CV_2
101100000,XXX,EG_1
101100001,XXX,EF_1
101101,XXX,AK_3
1011010,XXX,BN_2
10110100,XXX,CX_1
11,XXX,C_28
110,XXX,F_17
1100,XXX,L_12
11000,XXX,X_10
110000,XXX,AV_8
1100000,XXX,CB_7
11000000,XXX,DO_3
110000000,XXX,EX_2
1100000000,XXX,FT_1
110000001,XXX,EY_1
11000001,XXX,DN_4
110000010,XXX,EV_3
1100000100,XXX,FR_2
11000001000,XXX,GB_1
110001,XXX,AW_2
1100010,XXX,CE_1
11001,XXX,Y_2
110010,XXX,AY_1
1101,XXX,M_5
11010,XXX,AA_1
11011,XXX,Z_4
110110,XXX,AZ_3
1101100,XXX,CF_2
11011000,XXX,DQ_1
110111,XXX,BA_1
111,XXX,G_11
1110,XXX,O_2
11100,XXX,AE_1
1111,XXX,N_9
11110,XXX,AB_5
111100,XXX,BB_4
1111000,XXX,CH_3
11110000,XXX,DR_2
111100000,XXX,EZ_1
11111,XXX,AC_4
111110,XXX,BD_3
1111100,XXX,CJ_2
11111000,XXX,DU_1
