id,xxx,gene
1,XXX,A_100
10,XXX,B_77
100,XXX,D_73
1000,XXX,H_64
10000,XXX,P_43
100000,XXX,AB_39
1000000,XXX,AT_27
10000000,XXX,BN_23
100000000,XXX,CP_18
1000000000,XXX,DL_17
10000000000,XXX,EK_3
100000000000,XXX,FD_2
1000000000000,XXX,FN_1
1000000000001,XXX,FO_1
10000000001,XXX,EJ_14
100000000010,XXX,FC_4
1000000000100,XXX,FL_3
10000000001000,XXX,FX_2
100000000010000,XXX,GF_1
1000000000101,XXX,FM_1
100000000011,XXX,FB_10
1000000000110,XXX,FJ_8
10000000001100,XXX,FU_2
100000000011000,XXX,GD_1
10000000001101,XXX,FT_6
100000000011010,XXX,GB_5
1000000000110100,XXX,GJ_3
10000000001101000,XXX,GM_1
1000000000110101,XXX,GK_2
10000000001101010,XXX,GN_1
10000000001101011,XXX,GO_1
10000001,XXX,BO_4
100000010,XXX,CR_3
1000000100,XXX,DQ_1
1000000101,XXX,DP_2
10000001010,XXX,EQ_1
100000011,XXX,CS_1
1000001,XXX,AU_12
10000010,XXX,BP_9
100000100,XXX,CT_8
1000001000,XXX,DR_7
10000010000,XXX,ER_6
100000100000,XXX,FH_4
1000001000000,XXX,FP_3
10000010000000,XXX,FZ_2
100000100000000,XXX,GH_1
100000100001,XXX,FI_2
1000001000010,XXX,FR_1
10000011,XXX,BQ_3
100000110,XXX,CW_1
100000111,XXX,CV_2
1000001110,XXX,DU_1
100001,XXX,AC_4
1000010,XXX,AW_2
10000100,XXX,BT_1
10001,XXX,Q_21
100010,XXX,AD_11
1000100,XXX,AY_5
10001000,XXX,BX_4
100010000,XXX,CZ_2
1000100000,XXX,EA_1
1000101,XXX,AX_6
10001010,XXX,BV_5
100010100,XXX,CX_3
1000101000,XXX,DW_1
10001011,XXX,BW_1
100011,XXX,AE_10
1000110,XXX,AZ_7
10001100,XXX,CA_1
10001101,XXX,BZ_6
100011010,XXX,DC_3
1000110100,XXX,EG_1
1000110101,XXX,EF_2
10001101010,XXX,EY_1
10001101011,XXX,EX_1
100011011,XXX,DB_3
1000110110,XXX,ED_2
10001101100,XXX,EW_1
1000111,XXX,BA_3
10001110,XXX,CB_2
100011100,XXX,DD_1
10001111,XXX,CC_1
1001,XXX,I_9
10010,XXX,R_6
100100,XXX,AF_5
1001000,XXX,BC_2
10010000,XXX,CF_1
10011,XXX,S_3
100110,XXX,AH_2
1001100,XXX,BD_1
11,XXX,C_23
110,XXX,G_9
1100,XXX,O_4
11000,XXX,Z_3
110000,XXX,AR_2
1100000,XXX,BL_1
1100001,XXX,BM_1
1101,XXX,N_5
11010,XXX,X_4
110100,XXX,AP_3
1101000,XXX,BJ_2
11010000,XXX,CO_1
111,XXX,F_14
1110,XXX,L_13
11100,XXX,W_4
111000,XXX,AN_3
1110000,XXX,BH_2
11100000,XXX,CM_1
11100001,XXX,CL_1
1110001,XXX,BI_1
11101,XXX,V_9
111010,XXX,AL_8
1110100,XXX,BF_5
11101000,XXX,CH_4
111010000,XXX,DH_3
1110100000,XXX,EH_2
11101000000,XXX,FA_1
