id,xxx,gene
1,XXX,chr19:13255536:CTC-250I14.3 100
10,XXX,chr1:146454644:NBPF12 85
100,XXX,chr7:2646723:IQCE 63
1000,XXX,chr16:15813633:NDE1 60
10000,XXX,chr10:48260601:RP11-301J7.8 49
100000,XXX,chr10:47755600:AL603965.1 45
1000000,XXX,chr12:133050728:MUC8 45
10000000,XXX,chr21:9907222:TEKT4P2 39
100000000,XXX,chr1:16993511:RNU1-3 35
1000000000,XXX,chr22:16287789:POTEH 32
10000000000,XXX,chr15:30847202:GOLGA8Q 31
100000000000,XXX,chr12:117013730:MAP1LC3B2 30
10001,XXX,chr10:51852982:FAM21A 56
100010,XXX,chr17:39421886:KRTAP9-6 33
1000100,XXX,chr19:49526167:CGB 31
10001000,XXX,chr1:16976585:MST1P2 26
101,XXX,chr9:20885240:FOCAD 72
1010,XXX,chr11:120198093:TMEM136 60
10100,XXX,chr15:23438847:RN7SL106P 43
101000,XXX,chr1:146457949:NBPF12 38
1010000,XXX,chr1:144823787:NBPF9 33
10100000,XXX,chr2:110660947:LIMS3 32
101000000,XXX,chr10:37430995:ANKRD30A 27
11,XXX,chr1:154516578:TDRD10 89
110,XXX,chr17:39155969:KRTAP3-2 81
1100,XXX,chr2:240900691:NDUFA10 80
11000,XXX,chr1:144857068:RP4-791M13.4 78
110000,XXX,chr15:65113493:PIF1 74
1100000,XXX,chr9:100963977:TBC1D2 64
11000000,XXX,chr12:57637667:STAC3 60
110000000,XXX,chr18:10704619:PIEZO2 60
1100000000,XXX,chr10:42398648:RP11-96F8.1-KSR1P1 55
11000000000,XXX,chr8:7328067:DEFB104B 44
110000000000,XXX,chr14:20181271:OR11H2 39
1100000000000,XXX,chr14:24592226:DCAF11 39
11000000000000,XXX,chr6:51890260:PKHD1 35
110000000000000,XXX,chr1:145281633:NOTCH2NL 34
1100000000000000,XXX,chr3:195509443:MUC4 34
11000000000000000,XXX,chr15:32685258:GOLGA8K 34
110000000000000000,XXX,chr16:70010589:RP11-419C5.2 31
1100000000000000000,XXX,chr15:85785514:GOLGA6L3 30
11000000000000000000,XXX,chr21:9910578:TEKT4P2 29
110000000000000000000,XXX,chr10:82896560:RPA2P2 28
1100000000000000000000,XXX,chr16:66646:WASH4P 27
11000000000000000000000,XXX,chr15:72535011:PARP6 27
1100000001,XXX,chr10:47755625:AL603965.1 56
11000000010,XXX,chr10:47755601:AL603965.1 45
110000000100,XXX,chr10:47755604:AL603965.1 45
1100000001000,XXX,chr10:47755602:AL603965.1 44
11000000010000,XXX,chr1:146422594:NBPF12 43
110000000100000,XXX,chr11:60971069:PGA3 39
1100000001000000,XXX,chr10:42529426:RP11-96F8.1-KSR1P1 35
11000000010000000,XXX,chr10:42529421:RP11-96F8.1-KSR1P1 33
110000000100000000,XXX,chr21:46644427:ADARB1 33
1100000001000000000,XXX,chr10:42400225:RP11-96F8.1-KSR1P1 26
111,XXX,chr9:71693079:FXN 81
1110,XXX,chr11:60974811:PGA3 68
11100,XXX,chr9:30689788:RBMXP2 62
111000,XXX,chr3:10387059:ATP2B2 60
1110000,XXX,chr18:32720359:MAPRE2 57
11100000,XXX,chr6:74073531:KHDC3L 57
111000000,XXX,chr1:145301831:RP11-458D21.5 56
1110000000,XXX,chr11:60974846:PGA3 56
11100000000,XXX,chr14:20665840:OR11G2 53
111000000000,XXX,chr8:7308729:SPAG11B 51
1110000000000,XXX,chr3:172365619:AC007919.2 50
11100000000000,XXX,chr1:227920195:JMJD4 49
111000000000000,XXX,chr21:9866198:MIR3687-TEKT4P2 47
1110000000000000,XXX,chr22:18844925:AC008132.13 46
11100000000000000,XXX,chr1:145298005:NBPF10 46
111000000000000000,XXX,chr7:143452675:CTAGE6 43
1110000000000000000,XXX,chr15:21066837:POTEB2 37
111000000000000001,XXX,chr16:18455443:NPIPA7 41
1110000000000000010,XXX,chr1:161518618:RP11-25K21.6 39
11100000000000000100,XXX,chr3:195515141:MUC4 34
111000000000000001000,XXX,chr1:13424263:PRAMEF9 33
1110000000000000010000,XXX,chr3:195507683:MUC4 26
12,XXX,chr16:20488696:ACSM2A 56
120,XXX,chr14:20181274:OR11H2 40
1200,XXX,chr1:146420884:NBPF12 26
13,XXX,chr6:31378768:HCP5 76
130,XXX,chr9:19058743:HAUS6 71
1300,XXX,chr6:33632618:ITPR3 67
13000,XXX,chr8:143994321:CYP11B2 63
130000,XXX,chr6:152443744:SYNE1 62
1300000,XXX,chr11:124972377:TMEM218 58
13000000,XXX,chr9:136065746:GBGT1-OBP2B 48
130000000,XXX,chr2:133019329:MIR663B 48
1300000000,XXX,chr21:9911029:TEKT4P2 48
13000000000,XXX,chr19:49550888:CTB-60B18.17 45
130000000000,XXX,chr7:143452752:CTAGE6 43
1300000000000,XXX,chr15:93492240:CHD2 42
13000000000000,XXX,chr22:18844888:AC008132.13 36
130000000000000,XXX,chr16:28783484:NPIPB9 36
1300000000000000,XXX,chr10:42529429:RP11-96F8.1-KSR1P1 35
13000000000000000,XXX,chr10:42529459:RP11-96F8.1-KSR1P1 35
130000000000000000,XXX,chr10:42529451:RP11-96F8.1-KSR1P1 35
1300000000000000000,XXX,chr2:110660402:LIMS3 33
13000000000000000000,XXX,chr2:133019279:MIR663B 31
130000000000000000000,XXX,chr11:48347392:OR4C3 30
1300000000000000000000,XXX,chr1:145316930:RP11-458D21.5 28
13000000000000000000000,XXX,chr22:20615172:AC011718.1 28
130000000000000000000000,XXX,chr15:32740394:GOLGA8O 27
1300000000000000000000000,XXX,chr11:48347419:OR4C3 27
13000000000000000000000000,XXX,chr15:83006261:CSPG4P9-GOLGA6L19 27
130000000000000000000000000,XXX,chr1:121485248:RP11-344P13.1-RP11-417J8.1 27
